reference_deg,yaw_flat_deg,yaw_flat_err_deg,yaw_tilt_deg,yaw_tilt_err_deg,mahony_yaw_deg,mahony_yaw_err_deg,roll_deg,pitch_deg,rows,yaw_flat_offset_deg,yaw_flat_offset_err_deg,yaw_tilt_offset_deg,yaw_tilt_offset_err_deg,mahony_offset_deg,mahony_offset_err_deg
0.0,95.1120477197996,95.11204771979959,93.50833330320133,93.50833330320131,89.66409134850906,89.66409134850903,9.359337531486146,1.5659093198992444,397,1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,2.842170943040401e-14,2.842170943040401e-14
30.0,122.40377727304802,92.40377727304804,119.45609862145093,89.4560986214509,119.34203227396702,89.34203227396699,4.141942028985507,3.763937198067633,414,25.540948633397576,-4.459051366602409,22.058626675852466,-7.941373324147548,27.3919015030843,-2.6080984969157157
60.0,154.37254968711343,94.3725496871134,150.82194170462606,90.82194170462606,146.95494871060683,86.9549487106068,4.423045,4.42563,400,60.00000000000003,2.842170943040401e-14,60.0,0.0,60.00000000000003,2.842170943040401e-14
90.0,185.11591584446197,95.11591584446194,182.38827298670438,92.38827298670435,181.68203252366123,91.68203252366123,3.859134903640257,3.7200985010706638,467,88.25308720481152,-1.7469127951884786,84.99080104110591,-5.009198958894103,89.73190175277851,-0.2680982472214737
120.0,213.58825418504549,93.58825418504546,213.1289576542287,93.12895765422871,198.71332119451455,78.71332119451455,3.8175158227848103,3.7945822784810126,316,120.00000000000003,2.842170943040401e-14,120.0,0.0,120.0,0.0
150.0,242.95109283452575,92.95109283452575,244.56863687704794,94.56863687704794,240.33860736054595,90.33860736054595,3.9688756476683933,3.804205526770294,579,146.0882641948753,-3.9117358051246924,147.17116493144948,-2.828835068550518,148.38847658966324,-1.6115234103367584
180.0,282.40998158071466,102.40998158071466,286.1314417436574,106.13144174365738,279.2472975081999,99.24729750819989,3.883024774774775,3.457283783783784,444,185.5471529410642,5.547152941064212,188.73396979805892,8.733969798058922,187.29716673731718,7.297166737317184
210.0,314.7556992813841,104.75569928138412,319.01758227691704,109.01758227691704,309.4809873007425,99.48098730074253,4.269721264367816,3.3048936781609197,348,217.89287064173368,7.89287064173368,221.62011033131859,11.620110331318585,217.53085652985982,7.530856529859818
240.0,345.7154819725555,105.7154819725555,349.53948520337644,109.53948520337644,341.9901749962968,101.99017499629679,4.3118541666666665,3.7690059523809523,336,248.85265333290505,8.85265333290505,252.142013257778,12.14201325777799,250.04004422541408,10.040044225414078
270.0,15.727337582527861,105.72733758252787,17.774049254563625,107.77404925456364,17.744715277191858,107.74471527719186,3.885099609375,2.88474609375,512,270.0,0.0,270.0,0.0,270.0,0.0
300.0,43.52006637195349,103.52006637195348,43.96627185147494,103.96627185147497,43.22745968883679,103.2274596888368,4.181580060422961,3.54709667673716,331,300.0,0.0,299.99999999999994,-5.684341886080802e-14,300.0,0.0
330.0,64.96421444106312,94.96421444106312,64.3768181863549,94.37681818635491,62.84806515762354,92.84806515762352,3.7854424460431657,3.203638489208633,556,328.1013858014127,-1.8986141985873246,326.9793462407564,-3.0206537592436007,330.8979343867408,0.8979343867408147
