phase,source,reference,measured,raw_error,correction,corrected,corrected_error
train,data\heading_12dir_20260705_151120.csv,0.0,98.19598547600593,98.19598547600594,-94.11017907317277,4.085806402833157,4.085806402833157
train,data\heading_12dir_20260705_151120.csv,30.0,127.44926723604284,97.44926723604283,-93.15444189108254,34.2948253449603,4.294825344960316
train,data\heading_12dir_20260705_151120.csv,60.0,154.43828876907028,94.43828876907025,-94.42048358766432,60.01780518140596,0.017805181405947224
train,data\heading_12dir_20260705_151120.csv,90.0,187.5472009397793,97.54720093977926,-95.92516730034265,91.62203363943664,1.622033639436637
train,data\heading_12dir_20260705_151120.csv,120.0,222.07453650956208,102.07453650956211,-93.25203372734123,128.82250278222085,8.822502782220852
train,data\heading_12dir_20260705_151120.csv,150.0,245.8710865356573,95.8710865356573,-92.37840262034192,153.49268391531538,3.492683915315382
train,data\heading_12dir_20260705_151120.csv,180.0,254.01499349429668,74.01499349429668,-93.06132880562059,160.9536646886761,-19.0463353113239
train,data\heading_12dir_20260705_151120.csv,210.0,321.9503647090293,111.95036470902932,-108.02195298728873,213.9284117217406,3.928411721740588
train,data\heading_12dir_20260705_151120.csv,240.0,346.15664718793823,106.15664718793823,-106.37540950752243,239.7812376804158,-0.21876231958418657
train,data\heading_12dir_20260705_151120.csv,270.0,12.888815982540674,102.88881598254068,-100.88767210821183,272.0011438743288,2.001143874328818
train,data\heading_12dir_20260705_151120.csv,300.0,37.877425954127595,97.8774259541276,-97.06155948282829,300.81586647129933,0.81586647129933
train,data\heading_12dir_20260705_151120.csv,330.0,63.49207569802343,93.49207569802343,-95.61444869616615,327.87762700185726,-2.122372998142737
train,data\heading_12dir_20260705_153205.csv,0.0,89.13540098514608,89.13540098514608,-94.59268226156598,354.5427187235801,-5.4572812764199625
train,data\heading_12dir_20260705_153205.csv,30.0,120.3285912689834,90.32859126898342,-93.1974790271103,27.131112241873097,-2.8688877581269026
train,data\heading_12dir_20260705_153205.csv,60.0,152.32050031434392,92.32050031434392,-94.26374101867032,58.0567592956736,-1.9432407043263993
train,data\heading_12dir_20260705_153205.csv,90.0,186.7959281108372,96.79592811083717,-95.93567072425392,90.86025738658327,0.860257386583271
train,data\heading_12dir_20260705_153205.csv,120.0,206.5512422144784,86.5512422144784,-94.8151784531602,111.7360637613182,-8.263936238681794
train,data\heading_12dir_20260705_153205.csv,150.0,253.1180839196239,103.11808391962393,-92.95680232028222,160.1612815993417,10.161281599341692
train,data\heading_12dir_20260705_153205.csv,180.0,282.5637012415424,102.56370124154239,-99.5511008472762,183.0126003942662,3.012600394266201
train,data\heading_12dir_20260705_153205.csv,210.0,315.65403135612706,105.65403135612706,-107.48997228520189,208.1640590709252,-1.835940929074809
train,data\heading_12dir_20260705_153205.csv,240.0,343.4722806639587,103.47228066395871,-106.80259676996222,236.66968389399648,-3.3303161060035222
train,data\heading_12dir_20260705_153205.csv,270.0,10.349646444002195,100.34964644400219,-101.41153397997795,268.93811246402424,-1.0618875359757567
train,data\heading_12dir_20260705_153205.csv,300.0,37.382814869613156,97.38281486961318,-97.1100152359474,300.2727996336657,0.272799633665727
train,data\heading_12dir_20260705_153205.csv,330.0,68.21789439789747,98.21789439789745,-95.45695156763524,332.76094283026225,2.760942830262252
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,0.0,95.1120477197996,95.11204771979959,-94.27724228196337,0.8348054378362377,0.8348054378362235
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,30.0,122.40377727304802,92.40377727304804,-93.16797088459738,29.23580638845064,-0.7641936115493593
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,60.0,154.37254968711343,94.3725496871134,-94.41556999583943,59.956979691274,-0.04302030872599971
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,90.0,185.11591584446197,95.11591584446194,-95.94926072736153,89.16665511710043,-0.8333448828995529
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,120.0,213.58825418504549,93.58825418504546,-94.1138753167023,119.47437886834318,-0.5256211316568056
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,150.0,242.95109283452575,92.95109283452575,-92.27597241085857,150.67512042366718,0.6751204236671811
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,180.0,282.40998158071466,102.40998158071466,-99.50559326249251,182.90438831822215,2.9043883182221464
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,210.0,314.7556992813841,104.75569928138412,-107.3803174628697,207.37538181851443,-2.624618181485573
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,240.0,345.7154819725555,105.7154819725555,-106.44873903117629,239.26674294137922,-0.7332570586207794
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,270.0,15.727337582527861,105.72733758252787,-100.32341911322953,275.40391846929833,5.403918469298333
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,300.0,43.52006637195349,103.52006637195348,-96.5805253654883,306.9395410064652,6.93954100646522
valid,data\heading_12dir_20260705_162311_best_re300_165648.csv,330.0,64.96421444106312,94.96421444106312,-95.56517152211771,329.3990429189454,-0.6009570810546165
